country,year,democracy,monarchy
Egypt,2010,autocracy,N/A
Egypt,2011,autocracy,N/A
Egypt,2012,autocracy,N/A
Lebanon,2000,autocracy,N/A
Lebanon,2001,autocracy,N/A
Lebanon,2002,autocracy,N/A
Lebanon,2003,autocracy,N/A
Lebanon,2004,autocracy,N/A
Lebanon,2005,autocracy,N/A
Lebanon,2006,autocracy,N/A
Lebanon,2007,autocracy,N/A
Lebanon,2008,autocracy,N/A
Lebanon,2009,autocracy,N/A
Lebanon,2010,autocracy,N/A
Lebanon,2011,autocracy,N/A
Lebanon,2012,autocracy,N/A
Jordan,2000,autocracy,N/A
Jordan,2001,autocracy,N/A
Jordan,2002,autocracy,N/A
Jordan,2003,autocracy,N/A
Jordan,2004,autocracy,N/A
Jordan,2005,autocracy,N/A
Jordan,2006,autocracy,N/A
Jordan,2007,autocracy,N/A
Jordan,2008,autocracy,N/A
Jordan,2009,autocracy,N/A
Jordan,2010,autocracy,N/A
Jordan,2011,autocracy,N/A
Jordan,2012,autocracy,N/A
Israel,2000,democracy,republic
Israel,2001,democracy,republic
Israel,2002,democracy,republic
Israel,2003,democracy,republic
Israel,2004,democracy,republic
Israel,2005,democracy,republic
Israel,2006,democracy,republic
Israel,2007,democracy,republic
Israel,2008,democracy,republic
Israel,2009,democracy,republic
Israel,2010,democracy,republic
Israel,2011,democracy,republic
Israel,2012,democracy,republic
Yemen,2000,autocracy,N/A
Yemen,2001,autocracy,N/A
Yemen,2002,autocracy,N/A
Yemen,2003,autocracy,N/A
Yemen,2004,autocracy,N/A
Yemen,2005,autocracy,N/A
Yemen,2006,autocracy,N/A
Yemen,2007,autocracy,N/A
Yemen,2008,autocracy,N/A
Yemen,2009,autocracy,N/A
Yemen,2010,autocracy,N/A
Yemen,2011,autocracy,N/A
Yemen,2012,autocracy,N/A
Kuwait,2000,autocracy,N/A
Kuwait,2001,autocracy,N/A
Kuwait,2002,autocracy,N/A
Kuwait,2003,autocracy,N/A
Kuwait,2004,autocracy,N/A
Kuwait,2005,autocracy,N/A
Kuwait,2006,autocracy,N/A
Kuwait,2007,autocracy,N/A
Kuwait,2008,autocracy,N/A
Kuwait,2009,autocracy,N/A
Kuwait,2010,autocracy,N/A
Kuwait,2011,autocracy,N/A
Kuwait,2012,autocracy,N/A
Bahrain,2000,autocracy,N/A
Bahrain,2001,autocracy,N/A
Bahrain,2002,autocracy,N/A
Bahrain,2003,autocracy,N/A
Bahrain,2004,autocracy,N/A
Bahrain,2005,autocracy,N/A
